path,emotion,emotion_id,dataset,subset
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-01-01-01-01-01.wav,neutral,1,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-01-01-01-02-01.wav,neutral,1,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-01-01-02-01-01.wav,neutral,1,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-01-01-02-02-01.wav,neutral,1,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-03-01-01-01-01.wav,happy,3,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-03-01-01-02-01.wav,happy,3,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-03-01-02-01-01.wav,happy,3,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-03-01-02-02-01.wav,happy,3,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-03-02-01-01-01.wav,happy,3,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-03-02-01-02-01.wav,happy,3,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-03-02-02-01-01.wav,happy,3,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-03-02-02-02-01.wav,happy,3,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-04-01-01-01-01.wav,sad,4,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-04-01-01-02-01.wav,sad,4,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-04-01-02-01-01.wav,sad,4,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-04-01-02-02-01.wav,sad,4,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-04-02-01-01-01.wav,sad,4,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-04-02-01-02-01.wav,sad,4,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-04-02-02-01-01.wav,sad,4,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-04-02-02-02-01.wav,sad,4,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-05-01-01-01-01.wav,angry,5,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-05-01-01-02-01.wav,angry,5,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-05-01-02-01-01.wav,angry,5,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-05-01-02-02-01.wav,angry,5,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-05-02-01-01-01.wav,angry,5,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-05-02-01-02-01.wav,angry,5,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-05-02-02-01-01.wav,angry,5,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-05-02-02-02-01.wav,angry,5,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-06-01-01-01-01.wav,fearful,6,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-06-01-01-02-01.wav,fearful,6,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-06-01-02-01-01.wav,fearful,6,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-06-01-02-02-01.wav,fearful,6,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-06-02-01-01-01.wav,fearful,6,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-06-02-01-02-01.wav,fearful,6,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-06-02-02-01-01.wav,fearful,6,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_01\03-02-06-02-02-02-01.wav,fearful,6,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-01-01-01-01-02.wav,neutral,1,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-01-01-01-02-02.wav,neutral,1,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-01-01-02-01-02.wav,neutral,1,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-01-01-02-02-02.wav,neutral,1,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-03-01-01-01-02.wav,happy,3,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-03-01-01-02-02.wav,happy,3,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-03-01-02-01-02.wav,happy,3,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-03-01-02-02-02.wav,happy,3,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-03-02-01-01-02.wav,happy,3,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-03-02-01-02-02.wav,happy,3,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-03-02-02-01-02.wav,happy,3,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-03-02-02-02-02.wav,happy,3,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-04-01-01-01-02.wav,sad,4,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-04-01-01-02-02.wav,sad,4,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-04-01-02-01-02.wav,sad,4,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-04-01-02-02-02.wav,sad,4,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-04-02-01-01-02.wav,sad,4,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-04-02-01-02-02.wav,sad,4,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-04-02-02-01-02.wav,sad,4,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-04-02-02-02-02.wav,sad,4,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-05-01-01-01-02.wav,angry,5,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-05-01-01-02-02.wav,angry,5,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-05-01-02-01-02.wav,angry,5,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-05-01-02-02-02.wav,angry,5,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-05-02-01-01-02.wav,angry,5,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-05-02-01-02-02.wav,angry,5,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-05-02-02-01-02.wav,angry,5,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-05-02-02-02-02.wav,angry,5,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-06-01-01-01-02.wav,fearful,6,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-06-01-01-02-02.wav,fearful,6,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-06-01-02-01-02.wav,fearful,6,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-06-01-02-02-02.wav,fearful,6,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-06-02-01-01-02.wav,fearful,6,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-06-02-01-02-02.wav,fearful,6,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-06-02-02-01-02.wav,fearful,6,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_02\03-02-06-02-02-02-02.wav,fearful,6,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_03\03-02-01-01-01-01-03.wav,neutral,1,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_03\03-02-01-01-01-02-03.wav,neutral,1,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_03\03-02-01-01-02-01-03.wav,neutral,1,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_03\03-02-01-01-02-02-03.wav,neutral,1,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_03\03-02-03-01-01-01-03.wav,happy,3,ravdess,song
D:\Study Materials\ENSC 424\Project\ser-project\data\raw\ravdess\Audio_Song_Actors_01-24\Actor_03\03-02-03-01-01-02-03.wav,happy,3,ravdess,song
